index,title
1,The transformation of Ding Liren: From ‘depressed’ and shaky to becoming China’s first men’s world chess champion - The Indian Express
2,Erik ten Hag reacts to three welcome points - Man Utd
3,Verstappen: Red Bull to review costly error - Racingnews365.com
4,"PSG vs Lorient, LIVE Score, Ligue 1 update: Paris eye equaliser; PSG 1-2 Lorient update after 70 minutes - Sportstar"
5,"IPL will cross NFL soon, says Lalit Modi | Cricbuzz.com - Cricbuzz - Cricbuzz"
6,"Fulham vs. Manchester City - Football Match Report - April 30, 2023 - ESPN India"
7,Bayern Munich vs Hertha Berlin: GOOOOOOOOOAL! Coman makes it 2-0! - Bavarian Football Works
8,"CSK vs PBKS, IPL 2023, Highlights: Punjab Kings down Chennai Super Kings in last-ball thriller - Times of India"
9,Satwiksairaj Rankireddy-Chirag Shetty Win Historic Gold In Badminton Asia Championships - NDTV Sports
10,Lucknow the first stop for Kohli and co. as RCB begin string of away games - ESPNcricinfo
11,Alexander Zverev Cruises Through In Madrid - ATP Tour
12,"Live Cricket Score: MI vs RR, Match 42, IPL 2023 | Cricbuzz.com - Cricbuzz - Cricbuzz"
13,FIA investigating dangerous end to Azerbaijan GP - Racingnews365.com
14,"""Were You Telling Batters In Advance?"": Wasim Akram Blasts Arshdeep Singh, Kagiso Rabada - NDTV Sports"
15,Man Utd takeover: Sir Jim Ratcliffe's call to keep Glazers explained as agreement 'close' - Express
16,WTC Final 2023: Rohit Sharma to take REST from IPL for IND vs AUS clash? Mumbai Indians head coach comes with BOMBASTIC reply to Sunil Gavaskar - InsideSport
17,Prithvi Shaw: No way home for Prithvi Shaw! After molestation allegations by Sapna Gill now Delhi Capitals show no faith in Shaw - InsideSport
18,Five talking points from Barcelona 4-0 Real Betis - Barca Blaugranes
19,F1 2023 Azerbaijan Grand Prix - Race Results - Racingnews365.com
20,KKR CEO Venky Mysore has 'no regrets' on not retaining the likes of Shubman Gill - Times of India
